"HiPay API configuration","Configuration de l'API Hipay"
"Attempts","Tentatives"
"Status","Statut"
"Pay now","Payer maintenant"
"Hipay Payment Profiles","Hipay profils de paiement"
"payment_type","Type de paiement"
"Add payment profile","Ajouter un profile de paiement"
"Payment Profile","Profil de paiement"
"Wrapper iFrame Style","Style du container de l'iframe"
"iFrame Width","Largeur de l'iframe"
"iFrame Height","Hauteur de l'iframe"
"iFrame Style","Style de l'iframe"
"HiPay Fullservice credentials configuration","HiPay Fullservice credentials configuration"
"HiPay Fullservice Credit Card","HiPay Fullservice Credit Card API"
"HiPay Fullservice Hosted Page","HiPay Fullservice Credit Card Hosted Page"
"HiPay Fullservice Credit Card Split Payment","HiPay Fullservice Credit Card Split Payment"
"Credit Card Split Payment","Paiement en plusieurs fois par carte bancaire"
"HiPay Fullservice Hosted Page Split Payment","HiPay Fullservice Hosted Page Split Payment"
"Bankwire method","Méthode virement bancaire"
"Gender","Le genre"
"Male","Homme"
"Female","Femme"
"firstname","Prénom"
"lastname","Nom"
"Bank name","Nom de la banque"
"Enable the electronic signature of the mandate","Activer la signature électronique du mandat"
"Notification ""Refunded"". Refund issued by merchant. Registered notification about refunded amount of %s. Transaction ID: ""%s"". Credit Memo has not been created. Please create offline Credit Memo.","Notification ""Refund"". Remboursement demandé par le marchand. Enregistrement de la notification de remboursement d'un montant de %s. Transaction ID: ""%s"". L'avoir n'a pas été créé. Veuillez créer l'avoir en offline"
"Notification ""Capture"". Capture issued by merchant. Registered notification about captured amount of %s. Transaction ID: ""%s"". Invoice has not been created. Please create offline Invoice.","Notification ""Capture"". Capture demandée par le marchand. Enregistrement de la notification de capture d'un montant de %s. Transaction ID: ""%s"". La facture n'a pas été créée. Veuillez créer la facture en offline."
"Accept and Capture Payment","Accepter et Capturer le paiement"
"The Capture was requested.","LA capture a été demandée."
"You must reload the page to see new status.","Vous devez recharger la page pour voir le nouveau statut."
"Your payment is declined. Please retry checkout with another payment card.","Votre paiement a été refusé. Veuillez réessayer avec une autre carte bancaire."
"An exception has occured. Please retry checkout.","Une exception est survenue. Vous pouvez valider votre commande à nouveau."
"Transaction is in pending notification.","Transaction en attente de validation par notification."
